GENE	HOXB13	SHHDAC3_HOXB13
EMP1	-2.095458026	-0.127214598
ADAM7	-2.134997959	-0.243303016
CCDC108	-2.147574576	0.54931914
ICAM1	-2.184207132	-0.523991662
MMP7	-2.218116352	-0.287970287
ABCC11	-2.263818312	-0.832493201
CLEC7A	-2.285213457	0.168233306
SERPIND1	-2.295914211	-0.712659423
TM4SF18	-2.300573533	-0.538944719
CP	-2.305932389	-0.347821624
MMP10	-2.335709253	0.036334944
MUC2	-2.341564109	-0.955812975
LCN2	-2.401837283	-0.027989665
ZNF812	-2.427684113	-0.45048646
SYNPO2L	-2.443834951	-0.854115868
PGC	-2.455884095	-0.328853162
TNF	-2.462355337	-0.584611842
RND1	-2.480758551	0.098212152
GAD1	-2.501420517	-0.484553334
MSMB	-2.554005344	-0.379910504
CXCL10	-2.560307599	-0.341720912
SLC6A12	-2.563874325	0.39823085
RSAD2	-2.642676852	-0.239147442
PTPN5	-2.758297246	0.126420959
DUSP5	-2.790315525	-0.413286906
S100P	-2.83842421	-0.487782594
PIGR	-2.932245286	-0.298802468
PLAC4	-2.980511153	0.190679393
OAS2	-2.98464794	-0.251247167
IDO1	-3.033586551	-0.822279048
UBD	-3.148961347	-0.046113225
CCL5	-3.152181824	0.070114773
SERPINA3	-3.166142927	-0.510450014
WFDC21P	-3.32119458	-0.759978723
EDN1	-3.534968658	-0.759661965
SAA1	-3.716779559	0.171091607
C6orf222	-3.747569811	0.069307568
CYP4F8	-3.747640917	0.064071344
CCL2	-3.781146465	-0.199801392
CX3CL1	-4.028341101	-1.291950253
MMP12	-4.109489105	-0.426436355
CES1	-6.348011389	-0.390856441
CCL22	-8.142068219	-0.387098951
