GENE	SHHDAC3	SHHDAC3_HOXB13
ZNF367	-1.895737889	-1.594057747
ASF1B	-1.883571752	-1.988570562
CDC20	-1.882873146	-2.521493646
TMEM198	-1.879951592	-1.551698328
CNBD1	-1.87389436	-1.739179052
LOC100506844	-1.862718242	-0.852919621
RAD51AP1	-1.838314733	-1.930447349
FAM83D	-1.828632359	-1.729986736
DBF4B	-1.822147138	-1.629358567
KIAA0101	-1.81669643	-1.523135684
CCNB2	-1.816137426	-2.357349953
FAM64A	-1.810333767	-2.386653652
KIF4A	-1.792704276	-2.147779017
C1QTNF6	-1.790535497	-1.739472945
TOP2A	-1.786308966	-1.776933329
HBQ1	-1.783487602	-0.850559751
KIF18B	-1.781416365	-1.622726786
ORC1	-1.780900844	-1.556212174
CKAP2L	-1.769963935	-1.752938249
MYBL2	-1.761772809	-1.880578731
HMGN4	-1.758427567	-1.670957644
FBXO5	-1.757970618	-2.34298532
FOXM1	-1.75642779	-2.063005703
APOBEC3B	-1.752362915	-1.416371896
CDCA2	-1.72453031	-2.131430448
SRBD1	-1.724397379	-1.199567717
HJURP	-1.718776493	-1.788641075
RAD54L	-1.715474509	-1.68138096
GAS2L3	-1.712066367	-1.195485696
POLQ	-1.703098613	-1.168798984
TICRR	-1.699960757	-1.402521549
GTSE1	-1.694476443	-2.368227349
CENPE	-1.690145725	-1.640290655
PRAC2	-1.685507353	-1.839999111
PTTG1	-1.680471973	-1.619758974
BUB1	-1.678251029	-2.352698926
USP18	-1.674750237	-1.991085429
WDR62	-1.666468764	-1.272367087
ANLN	-1.661699222	-1.945753051
AIDA	-1.64167252	-1.485807291
IL36RN	-1.639792738	-0.920140649
E2F7	-1.637737998	-1.264849269
PLK4	-1.624358985	-1.441730266
KIF20B	-1.622327064	-1.415099104
KIF11	-1.621266212	-2.014255601
SKA1	-1.61714886	-2.715664221
SLC23A1	-1.613302482	-0.659741269
CD274	-1.605442025	-1.324067951
AURKB	-1.603686307	-1.856095188
CDK1	-1.596613422	-1.46822393
KIF15	-1.595594122	-1.851768983
RTKN2	-1.594757511	-1.545631699
KLHL1	-1.584388437	-1.870071899
SHCBP1	-1.572283198	-1.620665187
SCNN1G	-1.569637348	-0.949481276
RACGAP1	-1.553215378	-1.594051176
INCENP	-1.553159816	-1.673285227
UGT1A3	-1.552051993	0.149623042
CCNB1	-1.551898013	-1.7581765
FANCI	-1.551656161	-1.626958328
TOR4A	-1.551390143	-0.578234438
TRIM54	-1.550949041	-0.175817036
HDAC1	-1.541129367	-1.459067378
ITGA6	-1.540881391	-0.953616815
KIAA1524	-1.535092017	-1.564581189
SYNE3	-1.527856781	-1.30254257
ALG10B	-1.522240503	-0.823494656
FRAS1	-1.52153871	-1.884770817
STIL	-1.51051404	-0.893219414
EPHA6	-1.505242119	-1.698705464
PRKCA	-1.50341011	-2.805145392
ORC6	-1.491413871	-1.527304483
LOC100288637	-1.484338709	-1.324610473
SEMA3C	-1.478694473	-1.711715946
TRPM8	-1.474080154	-1.554319185
TROAP	-1.471877556	-1.417279718
FAM111B	-1.468859961	-1.736377206
NOS3	-1.462913496	-0.530051379
CRISP3	-1.461827527	-0.966732711
CAMK2N1	-1.456793611	-1.104418614
APOLD1	-1.448748358	-2.084251815
PARPBP	-1.447260036	-1.431653498
KIAA1191	-1.445753015	-1.463078272
ARL6IP1	-1.443960209	-1.590914299
PIM1	-1.442916476	-1.24949992
RTN1	-1.441453405	-1.695125957
MROH6	-1.424348136	-1.313907032
CDT1	-1.423273808	-1.575923916
HACL1	-1.412768801	-1.41747013
RMND5A	-1.412661353	-1.285579251
LYRM5	-1.412015587	-1.35237334
KAZALD1	-1.41124684	-1.015809555
RECQL4	-1.41048338	-1.390168753
ZGRF1	-1.399124417	-0.895939297
PLK1	-1.398008712	-1.541198313
FN1	-1.397369733	-0.362001268
PCDHGA8	-1.395381236	-1.464603737
PRC1	-1.393834539	-1.571026443
NUB1	-1.392318008	-1.216718254
NDC80	-1.381909564	-2.747139521
GPSM2	-1.379108354	-1.800514344
PNMA3	-1.378675989	-1.500699637
SPAG5	-1.3760534	-1.626029676
ABCA12	-1.371335641	0.19548656
UHRF1	-1.3695929	-1.747929597
MID1IP1-AS1	-1.365616174	-1.033818756
ZNF135	-1.365247035	-1.026785365
CLSPN	-1.355267322	-1.941135972
SGOL2	-1.351611996	-1.525432776
CNTNAP2	-1.350622933	-0.893689344
TMEM56	-1.35011739	-1.16859249
BRI3BP	-1.348022613	-1.580434093
MAPK6	-1.338242276	-1.224629401
SLCO4A1	-1.337145683	-0.746542868
RFC3	-1.336169933	-1.353767151
KIF24	-1.332842137	-0.490761113
TAP1	-1.332654862	-1.002257707
GAL3ST4	-1.330891696	-1.285189278
ANKRD34A	-1.328595412	-1.446280407
CDC6	-1.326434995	-1.758962025
S1PR3	-1.324277202	-2.051341806
ECT2	-1.323923219	-1.2907182
DCTN4	-1.319354409	-1.009961595
RINL	-1.314759165	-1.2931185
AMT	-1.310168054	-0.976977616
DIO1	-1.310149645	-0.396383054
TTTY15	-1.310067973	-1.242628082
PTPRG	-1.304611844	-0.989160104
NCAPH	-1.303665202	-1.98382734
TOB2P1	-1.301742316	-1.181458947
PCDHGB5	-1.298798137	-1.331989183
TK1	-1.298176862	-1.668882343
EDEM1	-1.297545153	-1.625439626
THAP7-AS1	-1.291286336	-1.520597037
SSPO	-1.288005605	-1.278076639
HACD2	-1.287385204	-2.039296661
AURKA	-1.286976234	-1.701596368
CDKN2C	-1.285742668	-1.415553591
MINPP1	-1.283836769	-1.466646232
ESPL1	-1.280867247	-1.5990456
RPL17	-1.276298804	-1.053919643
SOX8	-1.275141424	-0.173903914
EFCAB11	-1.272738173	-2.464372686
PHC1	-1.268394166	-0.450970272
MCM2	-1.266330058	-1.636363429
DIO3	-1.254824924	0.03005212
HMGB2	-1.246562887	-1.325635431
ANK1	-1.243697258	-0.620994172
SLC30A4	-1.240012207	-1.471112725
ITGAV	-1.237490933	-1.082273796
CENPU	-1.236919583	-1.438783729
ZFAND3	-1.229799346	-1.363605427
YEATS4	-1.223981023	-0.924739396
FRRS1	-1.223830116	-0.777040185
MAN1A1	-1.221934594	-1.540174369
STX2	-1.219305659	-0.891220144
VRK1	-1.219123433	-1.36220165
HDAC3	-1.216844313	-1.311626245
NCAPD2	-1.214398302	-1.283457382
KREMEN1	-1.21380622	-1.143829204
BCL7A	-1.211996924	-1.148671372
EME1	-1.209533497	-1.309150096
NEMP1	-1.206612322	-0.988619966
C11orf85	-1.203101638	-0.734681398
NCAPG2	-1.202840234	-1.477934687
FBXL16	-1.201247126	-1.139829313
TYMS	-1.20059669	-1.772318771
LRBA	-1.194946882	-0.575610538
ZNF519	-1.194817434	-0.483101072
C4orf46	-1.194250925	-1.415195728
UCHL5	-1.191300986	-1.209668791
TIMM21	-1.189428906	-1.210806884
MST1P2	-1.18754534	-0.38438845
SDC4	-1.184737019	-0.405976676
SMIM10L2A	-1.184236526	-1.062229177
MARVELD1	-1.180967904	-0.833959917
NEURL3	-1.179368356	0.697264079
TRIP13	-1.178386289	-0.929862098
SAV1	-1.178071189	-0.626177532
LIN9	-1.17530235	-0.924726974
LCP1	-1.174059542	-1.123365462
NUP93	-1.173471178	-2.404632989
SFTPA2	-1.172906691	-0.805829469
PTPRJ	-1.171506079	-0.46266698
EFNB1	-1.171148694	-0.548647101
MAP2	-1.170541412	-0.884883873
SMC2	-1.170256814	-1.118038208
GOLIM4	-1.169447346	-1.28038296
PRIMPOL	-1.167417013	-1.049063706
IPMK	-1.165213278	-0.297372517
ABCD3	-1.164052748	-1.505559943
BHLHA15	-1.160483257	-0.804247835
CDYL2	-1.160248909	-0.660798024
P3H2	-1.159140939	-3.289135562
CENPO	-1.158759647	-1.166736865
PTRF	-1.158738516	-0.599033171
BROX	-1.158598719	-1.137433933
RGP1	-1.155657669	-1.431705433
FANCD2	-1.154509216	-1.092982201
PLA2G4D	-1.154153325	-0.112061839
CLEC7A	-1.153068393	1.296983263
OSBP	-1.152226788	-0.992852187
CCDC77	-1.149203125	-0.779655356
PTPN3	-1.147993333	-0.68120129
NHP2	-1.141324299	-1.036757616
AMOTL1	-1.135715729	-2.922845154
AGPAT3	-1.135388034	-1.3263685
BRCA2	-1.135374242	-1.59851493
CFAP97	-1.134179531	-1.191798778
CTPS1	-1.134164846	-1.193186232
POMK	-1.134121452	-1.490998808
CARF	-1.133129823	-0.756803237
ARHGEF39	-1.131745293	-1.138847526
NPHP3-ACAD11	-1.128759015	-0.224630112
RRP1B	-1.12798538	-1.032521389
DSEL	-1.127880298	-2.120207884
DNMT1	-1.126258068	-1.140257083
ARFGAP3	-1.121965948	-0.825169091
TUBA1B	-1.119689901	-1.204797096
MMP16	-1.119668413	-1.281363398
AIM1	-1.118889871	-0.995975769
TTC7B	-1.112941524	-1.02517853
NAT8L	-1.112918341	-1.272578286
COLCA1	-1.112721984	-1.57621105
KCNJ3	-1.112491205	-0.846408253
SNRNP25	-1.11231183	-1.27193152
BCHE	-1.10979563	-0.970431639
DUT	-1.108658104	-1.08412718
ZWINT	-1.10597255	-1.461674642
CCDC85A	-1.10463235	-1.476369238
NAV3	-1.10409538	-0.839297024
KDELR2	-1.102396918	-0.983787975
SYT7	-1.100701	-0.30433163
FAM218A	-1.100660155	-0.57149901
RHOBTB3	-1.096921277	-0.917699596
CREB3L2	-1.093479074	-0.760932405
MAFF	-1.093032887	-0.373546111
RRM1	-1.092969234	-1.176259191
FANCM	-1.090849317	-0.718303482
SMC4	-1.09037364	-1.443606063
CBX6	-1.088331673	-1.143907593
PPARA	-1.08505051	-1.109979951
ALDH18A1	-1.079461069	-1.0956965
MMP24	-1.078146588	-0.386742902
FOPNL	-1.077731072	-0.612742966
CKAP4	-1.074441793	-1.033263384
CA5BP1	-1.074216083	-0.561648119
ERLIN1	-1.073733738	-0.705092995
TDP1	-1.071003684	-1.859554967
GINS2	-1.070664513	-1.133608197
SFXN1	-1.069684761	-1.018702765
ARHGAP35	-1.066737088	-1.103522092
ZNF395	-1.066608201	-0.984276989
TMPO	-1.06453659	-1.088507544
IFITM2	-1.06417696	-1.077120795
B4GALT3	-1.06341734	-0.96000577
CCP110	-1.060019547	-0.865018761
PEG3	-1.057352926	0.12677849
MMGT1	-1.056577173	-1.169374549
CDKN2A	-1.053392338	-0.837602495
AGK	-1.052904329	-0.894882848
BRIP1	-1.052593069	-1.029294577
TMEM2	-1.052081673	-0.687385671
RDH11	-1.051971304	-0.762830105
RCC2	-1.050753608	-1.127715761
POU5F1	-1.048516527	0.57176656
SLC5A3	-1.047865159	-1.236642443
TUBB3	-1.046552616	-0.91310621
DCLRE1B	-1.044804607	-1.136882547
SKP2	-1.044332965	-0.603525487
DLD	-1.044155553	-1.054296504
THRA	-1.043933687	-1.598089796
MYH10	-1.042007155	-1.003062888
WBP1L	-1.038632834	-1.10742458
BRSK2	-1.035245213	-0.5735728
SLC39A10	-1.035025232	-1.248761658
KIAA1804	-1.031640336	-1.016071311
PDK1	-1.030097083	-0.624592423
HERC5	-1.02835298	0.013183861
SAPCD2	-1.028206624	-1.247069855
LPCAT1	-1.02356686	-1.085607734
TMEM51	-1.020005418	-0.259594563
CDC7	-1.018091023	-0.7956979
TADA3	-1.017132044	-1.250073184
HMGB1	-1.015220658	-1.121295264
SLC7A2	-1.014839583	-0.457114824
CHST15	-1.014637603	-0.297575049
RBBP8	-1.014213929	-0.803869183
TAOK3	-1.01217773	-0.234910864
NMD3	-1.012006213	-0.839052335
CENPJ	-1.011223575	-0.785670707
SLC18A2	-1.010803975	-0.171954459
ATP11A	-1.010584548	-1.006293
IFFO2	-1.010283251	-0.918789621
PIK3CB	-1.008681407	-0.695799304
MAP2K5	-1.007628383	-1.059938352
IL1RN	-1.006927093	-0.376172301
YES1	-1.006820586	-0.9481139
FEN1	-1.005779521	-1.574447491
CELSR3	-1.005566489	-0.904496224
CFAP126	-1.004598747	-1.007381684
MID1IP1	-1.003733252	-0.955591936
RBM24	-1.002895587	-0.736172514
TRAM1L1	-1.002129391	-0.323558929
SGCB	-1.000940183	-1.47005614
TMEM65	-1.000845214	-1.060959537
SLC39A11	1.004304468	1.074816902
LOC440910	1.004490477	1.613303333
SLC40A1	1.005677463	-0.057430262
CXCL10	1.010395875	3.2242632
ZNF812	1.011841052	2.983646887
CECR1	1.018892549	2.067661346
GNB1L	1.02153805	0.536924862
AIFM2	1.024444302	0.915847543
GSTA1	1.029081194	1.393031779
CRYAB	1.030273046	0.934362621
DHRSX	1.032416794	1.103836114
GNG13	1.033269361	1.016041729
LPP-AS2	1.03340581	0.671456692
HES1	1.036907328	2.045091997
MON1A	1.042329809	0.484472962
HIST1H2BK	1.044299324	0.90387259
GNS	1.048671731	0.948852701
LIMS1	1.049686346	1.191722032
PPFIA2	1.049838058	0.711718918
SHF	1.051202453	0.743049716
ACSM1	1.054073804	1.992415167
CTBP1-AS	1.054556829	1.512781063
GATSL3	1.055183593	1.225238005
KLHDC8B	1.055254382	0.848447147
RASD1	1.056315147	0.833803404
SLC22A1	1.061615643	0.383050528
IFI27	1.067407436	2.190898594
PLXDC1	1.07065594	0.607332597
NAT1	1.074899174	0.684789997
COG4	1.075217891	0.996600019
FXYD3	1.077412989	1.464419552
ACSL6	1.077973826	1.208706253
RDH16	1.079840372	1.803997965
TMEM249	1.083376494	0.896621288
CDC42EP3	1.084292023	0.96803122
TNFRSF18	1.093949949	0.658269132
DNA2	1.100416742	1.19182672
EP300-AS1	1.102500995	1.04048248
BCL6	1.102507764	1.221811732
ZBED5-AS1	1.10363342	0.782230921
NKIRAS1	1.1065972	0.88841128
PQLC2	1.108481702	0.668379904
CDK6	1.110296974	1.760238795
SMS	1.110441671	1.074488985
HMGCS1	1.112704971	1.382530397
RNF139	1.113690313	0.521963869
MBNL3	1.114095116	0.840347341
ZMAT1	1.11847573	1.086546212
MLPH	1.119538212	1.925002986
HOXC13-AS	1.121644464	0.891375589
TBX10	1.12419403	1.627079729
LRRC37A3	1.126995552	0.535924208
EVA1B	1.139268733	1.35202551
CCDC71L	1.144604776	0.871489877
RN7SL1	1.149565639	-0.116797785
C2	1.154509849	1.53512445
ISG15	1.157405512	1.671650788
ATF5	1.160894175	0.429238022
KDELR3	1.162895102	1.332827126
RDH10	1.164104758	1.125912589
FRAT2	1.165903186	1.061851963
SLC22A23	1.167627621	1.194577872
ACOX2	1.172883365	1.236172395
LAMA3	1.185611689	1.900555928
ARMC2	1.185691939	0.621333489
PCA3	1.185910567	2.66863997
FZD5	1.189993828	0.821056628
PEBP4	1.190526916	1.630744012
CFD	1.193263435	0.763344632
CAPZB	1.195179627	1.137413217
ATP6V1G1	1.197069177	1.184201014
MAP7D1	1.198886369	1.156979926
CLYBL	1.200704852	0.717281958
MYL9	1.201247642	0.861152249
LYPD3	1.205918217	0.26839161
LCAL1	1.210759997	1.656943426
C1orf168	1.21227954	1.645186747
NQO1	1.21405343	1.494923538
PBX3	1.217191659	0.285909288
RN7SL2	1.217438599	0.234747876
SLC19A2	1.218103221	1.071169297
ACSL3	1.220242706	2.196416445
UGT2B10	1.221251163	1.941942977
CFL2	1.222983773	0.803791331
EAF2	1.223149911	1.654316128
RGMB-AS1	1.229584506	1.462848526
MTMR9	1.22977118	1.21507364
TRIM29	1.238000694	1.212863106
ZNF608	1.23927241	0.876024708
SCART1	1.245546264	1.373158442
FAM95C	1.248429575	1.539025299
LIFR	1.249177033	1.150046611
KIAA1324	1.262736691	1.301481838
LINC00883	1.265024004	0.904908152
FDXACB1	1.266033158	0.736796434
GABPB1	1.266466235	0.996894288
FLJ23867	1.267278631	1.431416767
SLC38A7	1.278819313	1.06048335
THBS4	1.280169985	0.309878871
OSBPL6	1.289419494	0.954206111
CCDC154	1.289778492	1.131164471
ASRGL1	1.290191349	1.323174389
NSG1	1.291366457	1.639060936
MAATS1	1.295494151	1.360595894
LAMA1	1.300911046	1.443586873
TMEM178A	1.301993699	1.499152905
TMCC3	1.303812417	0.98775104
POF1B	1.305486931	1.510833945
SULF2	1.307632009	1.531360724
MT1F	1.307928705	0.145351175
ANKRD29	1.308539508	2.050640037
LRRC39	1.315733443	2.188770944
CDKN1A	1.322760993	1.777493118
SGK223	1.326481911	0.996066094
CFAP43	1.326808636	1.002684416
ENPP5	1.327933254	0.707024416
MEIS1	1.330976152	0.334617395
CAPN3	1.331546301	0.98000502
ALDH3B2	1.332148751	1.422032671
DNAH10	1.336879597	-0.243724848
CADPS2	1.33823694	0.969265726
EPDR1	1.339231861	1.621684424
SLC16A13	1.341562647	0.866132638
TARP	1.344268227	1.843577765
VAV3	1.345799995	-0.40239806
STXBP4	1.348426997	0.749545292
DNAJB9	1.359000069	1.193142472
SPATS2L	1.364430195	1.233222621
AZGP1	1.371095695	2.119906446
LOC553103	1.371944316	1.048836771
NCAPD3	1.381903717	1.154051388
MMP7	1.396497562	3.322593586
C6orf52	1.396896602	0.48817825
VSTM2L	1.406000211	0.594600517
TGM3	1.407466273	1.573539465
HGD	1.410758951	1.329306505
HAPLN3	1.419889698	1.546961119
KDM8	1.424479535	1.030420349
SLCO2A1	1.427110533	1.548764917
ADAM7	1.427600365	3.314806171
SLC5A2	1.428077488	1.264111554
PRCAT47	1.429285178	1.407967929
SCARNA17	1.430029212	0.923278161
GADD45G	1.436804453	1.155572134
SUSD2	1.438805849	1.620947772
PTPRN2	1.447281422	1.809604288
CYP4F30P	1.448348551	3.197657799
FMO5	1.462929671	1.822596157
CENPN	1.469365733	1.847394209
SMOC2	1.481035801	1.174034248
ACSL4	1.484370539	0.402435691
ADAMTS15	1.487589209	1.475564639
MST1R	1.489203421	2.347766905
3-Mar	1.489628192	0.259790644
KNG1	1.490467125	1.837215698
ID3	1.50383309	1.443069598
SAT1	1.508067903	2.644194815
PCTP	1.508699453	1.219797368
SNCG	1.510010995	1.921440652
TMPRSS6	1.5133767	1.293861243
TRG-AS1	1.51873498	1.35968632
APOF	1.522701586	2.794252427
MIR29C	1.522759657	1.619867039
C20orf196	1.531496493	0.598485749
CLU	1.532140068	1.264232303
FAR2P2	1.537111859	2.423354751
NHSL2	1.537419725	1.978829546
PAM	1.552538806	2.372837229
GCNT1	1.554520512	2.259665569
ZAP70	1.556849807	0.589242291
NDUFB4	1.560455669	1.547260174
PRRG4	1.569193838	1.626044128
WNT2B	1.569858992	0.340072151
ELL2	1.57457747	1.036602544
ST6GALNAC1	1.579083464	1.717371663
TBXAS1	1.580672552	1.174939095
CDH4	1.580750925	1.844445226
BCAS1	1.590209967	2.886411345
WTH3DI	1.59817561	1.551990797
CYP39A1	1.632676469	2.007503652
ABCC8	1.635496962	1.660079077
RNF112	1.641254221	1.626034126
LAT2	1.641961618	0.266102693
QPRT	1.642147163	1.252815102
LIPH	1.653847283	1.920735736
SPSB1	1.658048723	1.147584624
PRICKLE2	1.661399923	1.950998142
STXBP5-AS1	1.673006384	1.301653431
TYRP1	1.675426837	1.085423004
CFAP99	1.680161658	2.227115455
GPLD1	1.681965827	1.029185347
TTR	1.686925079	2.466050485
NNMT	1.696382669	2.064996124
AZGP1P1	1.69767498	1.557432187
LRRC36	1.707166701	1.790457284
ID1	1.707819122	1.474083487
FMO4	1.721554773	1.293031985
MOGAT2	1.72249258	2.131744679
LRRC63	1.727548846	0.425549529
SPTLC3	1.732943676	2.316390066
F10	1.73427825	1.844769575
AKR1C2	1.738922934	2.824705259
LOC102724663	1.742110999	0.638072925
SPEG	1.7455764	0.885512318
VTN	1.746270946	1.995557497
HEXA-AS1	1.747904488	1.500363258
SULT1A2	1.773585876	1.076432086
CYP4F2	1.777973055	3.737459648
F5	1.791861413	0.448663525
WWTR1	1.793977443	0.973740802
DNAH6	1.797261235	2.280690542
UCP3	1.802290029	1.14510496
CCDC81	1.803287731	1.788824799
EMCN	1.808027483	1.62519268
LINC01087	1.809792307	1.834405312
GPX2	1.814344831	3.532753307
CYP4F62P	1.821999625	2.635877847
CMYA5	1.825437015	2.128168413
SPOCK1	1.840552493	2.152504493
HPGD	1.841989556	2.529930844
CLDN8	1.849708602	1.663968187
GSTA2	1.854257121	1.721481315
TUBA3D	1.869780637	1.838768602
TGFBI	1.877605254	1.91471084
BPIFB1	1.892613774	2.419139074
TLE1	1.893924543	1.527267629
GP2	1.898327196	2.172885374
TCP10L	1.904381809	2.672924028
HSD17B2	1.908434859	3.514965473
GLP1R	1.92802967	2.950169624
DUOX1	1.92939496	2.557508417
AKAP5	1.943494486	1.275154423
LINC00930	1.946837994	1.93822058
FAM71F2	1.960189344	1.35951246
TUBA3E	1.966183614	1.874717246
EMP1	1.966647545	3.925482967
ABHD11-AS1	2.008981224	2.072842319
GALNT12	2.034331995	2.630192428
RCAN2	2.049750778	0.985347389
BAMBI	2.064128895	2.258792327
SLC10A7	2.081730805	2.579446532
CYP2E1	2.096405702	2.431432254
PSCA	2.098791218	2.298634658
TMEM61	2.112401707	0.430998651
ANKRD20A19P	2.119455498	1.4559627
SLC2A3	2.125264024	1.863681912
TMEM217	2.147362706	1.495810706
BFSP1	2.152345346	1.956486827
PLAG1	2.220267129	2.205195157
PRODH	2.265372788	1.101959321
ATP8B4	2.270758803	1.994903301
FOLR1	2.284018407	1.83372982
LOC100129461	2.295704617	1.243954243
SLC9A9	2.300092472	2.449040454
LOXL2	2.306747113	2.043424704
CCDC146	2.310284354	2.337094512
PCAT18	2.328379352	2.629224942
ADH1C	2.343854532	2.014275085
SMIM22	2.347131586	0.793148536
ADAM28	2.360998572	3.350198567
LOC101929295	2.362528109	1.313473571
IGFBP3	2.364045373	2.431835939
CDHR3	2.387226595	2.91485537
CRYM	2.410050956	2.000942994
FLJ41278	2.420872332	3.866218471
ERN2	2.457747506	1.82281227
HPX	2.46826054	2.535858063
AGR2	2.474769184	3.166718511
CREB3L1	2.476759958	5.087002168
PANX3	2.516454067	2.503078966
HMGCS2	2.520102078	3.28688642
ID2	2.536960183	1.481916688
ANKK1	2.564945583	1.284078509
FMO3	2.565445124	4.455763097
UNQ6494	2.571509715	1.595281468
HLX	2.616757377	1.462001027
SLA2	2.663657454	1.015843921
FAXDC2	2.668071276	2.817276202
UGT2B11	2.720596603	3.654230009
LEFTY1	2.729590121	2.38775833
IGF1	2.772560803	2.020777661
KLF5	2.782319655	2.700899471
CADM2	2.831911389	2.433313616
LINC00160	2.848063408	6.11602691
N4BP2L1	2.856629647	1.422506448
NEK11	2.891856441	1.866212383
STEAP4	2.896210734	4.217308726
CATSPERB	2.904118838	2.9216562
UGT2B28	2.971155604	3.914525449
SCGB2A1	3.091722748	3.501285026
MAOB	3.114046597	3.088606389
CPNE4	3.212194231	2.689164018
MYO1G	3.271684615	4.200565467
CYGB	3.331350617	1.787700471
COL6A3	3.367327405	3.28575342
CILP	3.526384952	1.643935328
TMEM100	5.881100987	5.568837348
