GENE_NAME	mr88	mr89	mr90	mr91
SLC35E2B	1153	1159	858	905
CDK11A	167	201	151	158
SLC35E2	125	139	113	130
NADK	901	1011	826	839
GNB1	4602	4950	4289	4651
CALML6	0	3	8	3
TMEM52	85	91	86	84
CFAP74	1	0	0	2
GABRD	2	2	3	2
PRKCZ	272	280	228	263
FAAP20	325	369	360	377
SKI	1156	1281	1051	1174
MORN1	114	135	105	121
LOC100129534	39	55	40	64
RER1	1243	1410	1579	1759
PEX10	698	817	928	987
PLCH2	77	73	78	75
PANK4	288	314	234	263
HES5	1	0	0	0
LOC115110	7	5	4	8
TNFRSF14	7	18	12	21
LOC100996583	2	3	4	5
FAM213B	371	375	313	299
MMEL1	31	34	65	63
TTC34	0	0	1	0
ACTRT2	0	0	0	0
LINC00982	0	0	0	1
PRDM16	2	0	3	3
MIR4251	0	0	0	0
ARHGEF16	389	377	349	351
MEGF6	95	102	82	64
MIR551A	0	0	0	0
TPRG1L	488	584	350	374
WRAP73	142	155	148	123
TP73	48	50	42	37
TP73-AS1	338	338	292	299
CCDC27	6	0	2	2
SMIM1	19	7	19	19
LRRC47	744	767	615	643
CEP104	592	637	490	554
DFFB	115	129	70	54
C1orf174	132	156	102	118
LINC01134	4	6	4	3
LINC01346	0	0	0	0
LOC284661	0	0	0	2
AJAP1	0	0	0	0
MIR4417	0	0	0	0
MIR4689	0	0	0	0
NPHP4	179	179	174	185
KCNAB2	186	176	166	156
CHD5	14	23	10	15
RPL22	829	904	708	760
LOC102724450	3	0	3	5
RNF207	56	73	46	67
ICMT	888	952	789	878
LINC00337	5	5	4	4
HES3	0	0	0	0
GPR153	31	38	43	47
ACOT7	230	248	173	191
HES2	33	25	14	9
ESPN	25	18	22	23
MIR4252	0	0	0	0
TNFRSF25	12	17	10	11
PLEKHG5	60	73	47	40
NOL9	421	473	239	287
TAS1R1	7	7	5	5
ZBTB48	163	207	171	180
KLHL21	596	648	516	455
PHF13	198	205	186	181
THAP3	66	86	94	81
DNAJC11	473	513	391	413
LOC100505887	0	0	0	0
CAMTA1	321	346	268	289
VAMP3	588	622	509	597
PER3	192	224	132	141
UTS2	0	0	3	0
TNFRSF9	13	10	1	5
PARK7	2556	2775	2561	2657
ERRFI1	3705	4011	3489	3505
LOC102724539	0	0	0	0
SLC45A1	6	4	3	2
RERE	643	610	500	493
LOC102724552	3	4	2	2
ENO1	13615	14710	12953	13487
MIR6728	1	0	0	0
ENO1-AS1	16	10	7	17
CA6	0	0	0	0
SLC2A7	0	0	0	0
SLC2A5	0	2	0	1
GPR157	30	35	34	40
MIR34A	2	0	2	1
H6PD	986	1059	957	1011
SPSB1	49	65	25	35
LOC100506022	7	9	7	8
SLC25A33	365	338	382	358
TMEM201	321	333	254	248
PIK3CD	837	958	764	809
PIK3CD-AS1	0	0	1	0
PIK3CD-AS2	28	35	28	29
CLSTN1	2119	2288	2174	2342
CTNNBIP1	364	366	343	371
LZIC	248	208	194	200
NMNAT1	183	191	191	185
MIR5697	0	0	0	0
RBP7	6	5	0	6
UBE4B	872	1019	726	700
KIF1B	1493	1748	1492	1518
MIR1273D	0	0	0	0
RNU6-1	0	0	0	0
RNU6-2	0	0	0	0
RNU6-7	0	0	0	0
RNU6-9	0	0	0	0
RNU6-8	0	0	0	0
PGD	1319	1509	1380	1351
APITD1-CORT	0	0	0	0
APITD1	23	31	22	39
CORT	5	8	2	6
DFFA	348	359	287	299
PEX14	163	152	179	177
CASZ1	800	831	939	996
C1orf127	1	2	0	0
TARDBP	1013	1069	799	828
MASP2	26	30	29	22
SRM	1086	1294	1064	1076
EXOSC10	581	573	345	467
MTOR	2168	2406	2340	2501
MTOR-AS1	0	1	0	0
ANGPTL7	2	2	1	2
UBIAD1	367	401	349	373
PTCHD2	2	1	1	1
LOC101929181	0	0	3	0
FBXO2	61	68	48	56
FBXO44	188	191	203	209
FBXO6	24	37	40	55
MAD2L2	156	176	155	177
DRAXIN	0	0	0	0
AGTRAP	780	862	766	778
C1orf167	1	0	0	1
LOC102724659	0	0	0	0
MTHFR	473	487	435	494
CLCN6	176	206	149	194
NPPA-AS1	5	3	6	5
NPPA	3	2	0	4
NPPB	0	0	0	0
RNU5E-1	1	0	0	0
KIAA2013	529	546	524	517
PLOD1	1958	2171	2312	2458
MFN2	1617	1662	1554	1627
MIIP	274	231	171	178
MIR6729	0	0	0	0
TNFRSF8	0	6	2	2
MIR7846	0	0	0	0
TNFRSF1B	0	1	0	2
MIR4632	0	0	0	0
VPS13D	1095	1062	1060	1064
SNORA59A	0	0	0	0
SNORA59B	0	0	0	0
DHRS3	169	203	237	219
MIR6730	0	0	0	0
AADACL4	1	0	0	0
AADACL3	0	0	0	0
C1orf158	1	0	0	2
PRAMEF12	12	5	17	8
PRAMEF1	4	1	0	1
PRAMEF11	0	0	0	1
HNRNPCL1	0	0	0	0
PRAMEF2	1	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	1	2	1	0
PRAMEF6	0	0	0	0
LOC101929983	0	0	1	0
HNRNPCL3	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF25	0	0	0	0
PRAMEF26	0	0	0	0
LOC649324	0	0	0	0
LOC645354	0	0	0	0
HNRNPCL2	0	0	0	0
PRAMEF9	0	0	0	0
LOC400736	0	1	1	0
LOC391003	0	0	0	0
PRAMEF22	0	0	0	0
PRAMEF5	0	0	1	0
PRAMEF8	0	0	0	0
LOC645382	0	0	0	0
PRAMEF15	0	0	1	2
PRAMEF14	1	1	0	1
PRAMEF19	0	0	0	0
PRAMEF16	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	1	0
LRRC38	0	0	0	0
PDPN	0	0	0	0
PRDM2	518	606	413	475
KAZN	41	53	37	39
TMEM51-AS1	0	0	2	0
TMEM51	24	28	10	10
C1orf195	0	0	0	0
FHAD1	1	5	1	1
EFHD2	162	165	112	140
CTRC	0	0	0	0
CELA2A	1	1	0	1
CELA2B	0	1	0	2
CASP9	69	83	67	78
DNAJC16	367	409	373	376
AGMAT	3	1	3	1
DDI2	182	186	136	127
RSC1A1	98	112	93	84
PLEKHM2	373	439	321	332
SLC25A34	7	2	1	3
TMEM82	0	0	0	0
FBLIM1	48	45	27	31
UQCRHL	30	17	12	16
FLJ37453	68	64	44	63
SPEN	935	1007	742	810
MIR5096	0	0	2	0
ZBTB17	192	195	132	178
C1orf64	0	0	0	0
HSPB7	0	0	0	0
CLCNKA	0	0	0	0
CLCNKB	0	0	0	0
FAM131C	0	0	2	0
EPHA2	51	57	37	45
ARHGEF19	96	113	84	78
RSG1	56	52	62	69
FBXO42	369	415	392	384
SZRD1	928	1092	810	801
SPATA21	0	0	0	0
NECAP2	177	181	117	138
CROCCP3	42	24	15	27
RNU1-1	0	0	0	0
RNU1-2	0	0	0	0
RNU1-3	0	0	0	0
RNU1-28P	0	0	0	0
RNVU1-18	0	0	0	0
RNU1-27P	0	0	0	0
RNU1-4	0	0	0	0
FAM231B	0	2	0	0
MIR3675	0	0	0	0
NBPF1	65	78	49	46
CROCCP2	57	39	50	54
MST1P2	14	9	19	15
FAM231A	0	0	0	0
FAM231C	0	0	0	0
ESPNP	2	1	4	1
MST1L	0	0	0	2
CROCC	99	136	99	92
MFAP2	0	0	1	0
ATP13A2	428	447	526	576
SDHB	347	415	343	337
PADI2	28	17	15	18
PADI1	1	0	0	0
PADI3	0	2	0	0
MIR3972	0	0	0	0
PADI4	0	0	0	0
PADI6	0	0	0	0
RCC2	845	935	480	517
ARHGEF10L	111	133	100	111
ACTL8	4	0	0	4
LOC101927876	0	0	0	0
IGSF21	0	0	1	1
KLHDC7A	0	0	0	1
PAX7	1	0	0	2
TAS1R2	0	0	0	0
ALDH4A1	794	917	500	512
MIR4695	0	0	0	0
MIR1290	0	0	0	0
IFFO2	134	152	109	125
UBR4	1951	2102	2094	2281
EMC1	697	754	702	746
MRTO4	254	300	209	213
AKR7L	32	14	18	21
AKR7A3	13	8	18	8
LOC100506730	50	56	64	92
AKR7A2	381	409	487	566
PQLC2	105	93	115	130
CAPZB	1796	1923	2372	2434
MINOS1-NBL1	0	0	0	0
MINOS1	332	338	493	526
RPS14P3	9	12	28	17
NBL1	1	4	5	5
HTR6	7	8	5	5
TMCO4	219	232	235	259
RNF186	0	1	0	1
OTUD3	145	166	102	104
PLA2G2E	0	0	0	0
PLA2G2A	307	293	125	115
PLA2G5	15	11	19	29
PLA2G2D	0	0	0	0
PLA2G2F	2	1	2	0
PLA2G2C	0	0	0	0
UBXN10-AS1	0	0	0	0
UBXN10	0	0	0	0
VWA5B1	6	9	2	1
LINC01141	0	0	0	1
CAMK2N1	770	852	146	173
MUL1	207	215	214	185
FAM43B	1	0	0	0
CDA	0	0	1	0
PINK1	93	74	113	86
MIR6084	0	0	0	0
PINK1-AS	28	43	37	35
DDOST	1362	1506	1395	1416
KIF17	2	4	2	5
SH2D5	1	4	2	4
HP1BP3	700	767	576	598
EIF4G3	1080	1154	1095	1117
MIR1256	0	0	0	0
ECE1	195	230	143	129
LOC100506801	0	0	0	0
NBPF3	24	20	22	17
ALPL	0	0	0	0
RAP1GAP	239	223	624	639
USP48	427	476	396	442
LDLRAD2	1	0	2	0
HSPG2	193	265	216	257
CELA3B	0	0	0	0
CELA3A	0	0	0	1
LOC101928043	3	0	1	4
LINC00339	67	70	59	45
CDC42	571	660	520	490
WNT4	14	11	3	8
MIR4418	0	0	0	0
ZBTB40	440	447	372	356
EPHA8	1	0	4	5
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	78	73	38	41
MIR4684	0	0	0	0
MIR4253	0	0	0	0
LACTBL1	0	0	0	1
C1orf234	0	3	2	1
KDM1A	893	931	429	478
MIR3115	0	0	0	0
MIR4419A	0	0	0	0
LUZP1	234	266	160	171
HTR1D	0	3	0	0
LINC01355	14	21	16	13
HNRNPR	1058	1165	752	747
ZNF436	133	130	112	158
ZNF436-AS1	25	24	20	19
TCEA3	38	49	45	37
ASAP3	112	108	110	118
E2F2	70	66	12	18
LOC101928163	0	0	0	1
ID3	139	148	130	131
MDS2	0	0	0	0
RPL11	3559	3720	3229	3375
TCEB3	628	691	555	554
TCEB3-AS1	11	11	12	12
PITHD1	375	377	262	269
LYPLA2	303	292	209	224
GALE	361	375	392	383
HMGCL	194	232	269	273
FUCA1	167	190	208	259
CNR2	0	0	0	0
MIR378F	0	0	0	0
PNRC2	342	363	243	226
SRSF10	612	677	472	489
MYOM3	0	0	0	0
IL22RA1	4	1	4	0
IFNLR1	3	3	1	2
LOC284632	0	0	0	0
GRHL3	12	12	7	13
STPG1	61	61	59	61
NIPAL3	390	437	490	558
RCAN3AS	1	0	1	1
RCAN3	158	156	108	121
LOC100506985	29	15	9	10
NCMAP	0	0	0	0
SRRM1	710	814	554	558
CLIC4	858	837	707	712
RUNX3	0	1	0	0
MIR6731	0	0	0	0
MIR4425	0	0	0	0
SYF2	175	181	154	192
RSRP1	187	191	236	238
RHD	0	2	1	0
TMEM50A	284	303	306	333
RHCE	3	3	13	13
TMEM57	332	372	358	372
LDLRAP1	225	252	253	264
MAN1C1	27	29	29	22
SEPN1	626	690	700	668
MTFR1L	237	240	310	295
LOC646471	39	56	59	58
AUNIP	22	8	15	12
PAQR7	6	3	4	2
STMN1	763	827	348	396
MIR3917	0	0	0	0
PAFAH2	140	155	202	169
EXTL1	1	0	1	3
SLC30A2	0	0	0	1
TRIM63	2	1	0	0
PDIK1L	88	70	70	66
FAM110D	0	0	0	0
ZNF593	75	120	92	87
CNKSR1	122	119	116	116
CATSPER4	0	0	0	0
LOC101928303	0	0	0	0
CEP85	140	146	104	110
SH3BGRL3	269	285	220	265
UBXN11	85	128	89	95
CD52	0	0	0	0
AIM1L	10	5	3	5
ZNF683	0	0	0	0
LIN28A	0	0	0	0
DHDDS	183	199	197	213
LOC101928324	2	1	0	1
HMGN2	358	405	223	222
RPS6KA1	438	514	482	491
MIR1976	0	0	0	0
ARID1A	1392	1589	1133	1123
PIGV	239	230	254	259
ZDHHC18	130	125	93	80
SFN	9	6	4	3
GPN2	200	211	183	193
GPATCH3	103	121	98	78
NR0B2	1	0	2	2
NUDC	1002	1116	861	849
KDF1	181	201	167	168
TRNP1	41	34	19	30
FAM46B	1	1	0	0
SLC9A1	514	531	595	600
WDTC1	439	483	412	451
TMEM222	341	352	357	383
ACTG1P20	10	10	10	11
RNU6-48P	0	0	0	0
SYTL1	238	235	265	257
MAP3K6	237	275	242	243
FCN3	0	0	2	1
CD164L2	3	9	12	1
GPR3	1	4	0	2
WASF2	1438	1549	1419	1387
AHDC1	284	314	190	194
FGR	1	2	0	0
IFI6	57	58	115	87
FAM76A	81	87	71	66
STX12	643	725	717	594
PPP1R8	386	467	325	296
SCARNA1	0	0	0	0
THEMIS2	0	0	0	0
RPA2	271	299	201	196
SMPDL3B	178	214	218	205
XKR8	60	72	81	82
EYA3	441	495	378	406
PTAFR	0	7	0	0
DNAJC8	609	731	545	556
ATPIF1	906	877	893	913
SESN2	422	420	308	367
MED18	219	213	205	193
PHACTR4	455	484	403	426
SNHG3	458	462	332	336
RCC1	574	611	344	343
SNORA73A	7	4	5	5
SNORA73B	11	7	2	7
TRNAU1AP	141	114	128	123
SNHG12	100	118	72	63
SNORD99	2	2	0	1
SNORA61	18	25	10	14
SNORA44	4	4	1	3
SNORA16A	5	5	4	9
RAB42	0	0	2	0
TAF12	129	125	113	120
RNU11	3	1	2	0
GMEB1	87	120	79	112
YTHDF2	855	926	675	627
OPRD1	0	0	0	2
EPB41	730	834	749	743
TMEM200B	0	0	0	2
SRSF4	598	680	465	555
MECR	177	212	188	174
PTPRU	285	338	325	390
LOC101928460	3	2	1	4
LOC101929406	0	0	0	0
MATN1	2	0	1	1
MATN1-AS1	19	16	19	19
LAPTM5	0	1	1	3
MIR4420	0	0	0	0
SDC3	725	775	477	500
PUM1	1436	1517	1186	1302
SNORD103A	0	0	0	0
SNORD103B	0	0	0	0
SNORD85	0	1	0	0
NKAIN1	8	16	16	21
SNRNP40	560	569	350	345
ZCCHC17	314	380	329	340
FABP3	7	8	3	7
SERINC2	928	1133	1347	1440
LINC01225	0	0	2	1
LINC01226	0	0	0	0
TINAGL1	4	0	1	4
HCRTR1	0	1	0	0
PEF1	390	452	353	358
COL16A1	22	17	28	21
ADGRB2	30	31	23	14
MIR4254	0	0	0	0
SPOCD1	0	0	0	1
PTP4A2	795	890	892	935
KHDRBS1	1424	1513	995	1021
TMEM39B	90	93	62	79
MIR5585	0	0	0	0
KPNA6	1282	1317	1067	1166
TXLNA	1267	1429	1230	1173
CCDC28B	44	66	32	38
IQCC	67	62	50	65
DCDC2B	7	18	23	17
TMEM234	86	86	93	99
EIF3I	2632	2815	2918	3023
MTMR9LP	11	7	2	4
FAM167B	5	3	4	3
LCK	3	1	2	1
HDAC1	1325	1423	1030	1091
MARCKSL1	3165	3545	1871	2083
FAM229A	44	47	28	55
TSSK3	90	75	63	79
BSDC1	773	932	1150	1116
ZBTB8B	2	5	3	1
ZBTB8A	157	182	137	179
ZBTB8OS	134	156	146	130
RBBP4	1066	1251	931	1022
SYNC	1	0	4	4
KIAA1522	2684	2960	3528	3631
YARS	1276	1470	1313	1361
S100PBP	234	247	167	178
FNDC5	7	6	6	3
HPCA	1	2	0	0
TMEM54	781	896	703	739
RNF19B	147	149	135	155
AK2	898	1027	961	953
AZIN2	13	15	11	8
TRIM62	124	145	114	137
ZNF362	199	231	148	134
A3GALT2	5	2	0	1
PHC2	508	556	405	383
MIR3605	1	0	2	0
LOC101929464	0	1	1	3
ZSCAN20	85	81	57	49
CSMD2	0	0	0	0
HMGB4	0	0	0	0
CSMD2-AS1	0	0	0	0
C1orf94	0	0	0	0
MIR552	0	0	0	0
GJB5	0	1	1	0
GJB4	0	2	0	0
GJB3	0	1	0	0
GJA4	0	0	0	0
SMIM12	233	293	235	223
DLGAP3	2	1	2	0
LOC653160	19	17	21	20
ZMYM6NB	45	60	81	73
ZMYM6	234	255	256	232
ZMYM1	182	197	107	117
SFPQ	2308	2333	1309	1350
ZMYM4	847	1015	682	704
KIAA0319L	1344	1457	1904	1958
NCDN	633	697	697	706
TFAP2E	39	32	36	35
PSMB2	866	933	754	817
C1orf216	175	204	154	169
CLSPN	193	203	61	57
AGO4	268	314	355	376
AGO1	681	698	474	530
AGO3	162	211	174	165
TEKT2	3	1	1	1
ADPRHL2	273	293	267	288
COL8A2	0	2	2	3
TRAPPC3	507	592	590	551
MAP7D1	2523	2799	4074	4223
THRAP3	3444	3735	3951	4129
SH3D21	452	453	1312	1302
EVA1B	266	282	639	638
STK40	1051	1213	1233	1306
LSM10	283	296	346	361
OSCP1	118	139	157	164
MRPS15	503	576	474	503
CSF3R	0	0	0	0
GRIK3	1	0	0	0
MIR4255	0	0	0	0
LINC01137	40	46	72	57
ZC3H12A	207	219	159	195
MIR6732	0	0	1	1
MEAF6	1392	1557	913	944
MIR5581	5	8	2	3
SNIP1	293	333	195	230
DNALI1	35	39	18	16
GNL2	993	1008	790	829
RSPO1	0	0	0	0
C1orf109	269	326	218	215
CDCA8	234	256	105	99
EPHA10	87	119	140	124
MANEAL	280	307	258	227
YRDC	341	342	263	259
C1orf122	493	537	556	532
MTF1	460	519	390	392
INPP5B	108	122	115	115
SF3A3	599	692	482	477
FHL3	10	15	17	10
UTP11L	381	359	334	324
POU3F1	1	2	0	0
MIR3659	0	0	0	0
LINC01343	0	0	0	0
RRAGC	267	261	234	249
MYCBP	5	6	1	4
GJA9-MYCBP	6	2	0	1
GJA9	0	0	0	0
RHBDL2	19	17	13	10
AKIRIN1	1181	1248	842	898
NDUFS5	1048	1102	914	900
MACF1	1236	1320	960	1028
KIAA0754	90	102	72	49
BMP8A	23	28	17	48
PPIEL	52	45	72	67
PABPC4	1136	1330	836	859
LOC101929516	2	1	1	2
SNORA55	3	3	0	1
HEYL	0	0	0	0
NT5C1A	0	2	0	0
HPCAL4	5	5	4	5
PPIE	256	295	210	229
BMP8B	12	12	7	11
OXCT2	0	0	0	0
TRIT1	395	426	359	426
MYCL	153	167	147	152
MFSD2A	15	31	14	12
CAP1	1386	1396	1435	1402
PPT1	669	771	659	644
RLF	375	412	307	321
TMCO2	0	0	0	0
ZMPSTE24	852	854	859	843
COL9A2	15	35	18	20
SMAP2	587	538	560	589
ZFP69B	60	78	54	56
ZFP69	11	1	7	2
EXO5	47	45	34	26
ZNF684	18	16	14	12
RIMS3	47	43	37	49
NFYC-AS1	27	33	21	23
NFYC	273	314	272	316
MIR30E	0	0	0	0
MIR30C1	0	0	0	0
KCNQ4	45	41	19	31
CITED4	49	41	30	21
CTPS1	522	535	355	374
SLFNL1-AS1	15	24	12	12
SLFNL1	6	5	2	4
SCMH1	607	669	640	656
FOXO6	5	3	4	7
EDN2	12	11	6	10
HIVEP3	51	65	45	61
GUCA2B	0	2	0	0
GUCA2A	0	0	0	0
FOXJ3	836	863	770	788
RIMKLA	379	453	494	533
ZMYND12	26	44	47	67
PPCS	585	637	688	708
CCDC30	9	13	10	13
PPIH	151	147	78	81
YBX1	1802	1916	1438	1515
CLDN19	0	2	0	0
P3H1	231	231	205	195
C1orf50	57	77	60	69
LOC100129924	2	4	1	3
SVBP	24	35	29	22
ERMAP	110	139	104	93
ZNF691	78	92	81	76
LOC339539	0	2	0	1
SLC2A1	1027	1137	1297	1394
SLC2A1-AS1	8	4	7	9
FAM183A	4	3	2	3
EBNA1BP2	353	357	259	294
MIR6733	0	0	0	0
CFAP57	11	12	11	9
TMEM125	530	460	490	497
C1orf210	170	178	167	195
TIE1	1	0	0	1
MPL	13	13	8	5
CDC20	385	404	122	153
ELOVL1	1013	1121	947	988
MIR6734	0	0	0	1
MED8	275	336	289	269
SZT2	743	802	760	784
MIR6735	0	0	0	0
HYI	0	0	0	0
PTPRF	7917	8556	8656	8936
KDM4A	796	876	559	580
KDM4A-AS1	11	18	18	16
ST3GAL3	92	113	104	120
LOC101929592	0	0	0	0
MIR6079	0	0	0	0
ARTN	32	32	21	23
IPO13	571	672	549	604
DPH2	340	356	232	243
ATP6V0B	1553	1611	2038	2053
B4GALT2	508	556	402	442
CCDC24	139	159	178	192
SLC6A9	113	141	115	108
KLF17	0	0	0	1
DMAP1	205	225	181	217
ERI3	459	539	434	472
ERI3-IT1	8	7	13	3
RNF220	422	434	327	281
MIR5584	0	0	0	0
TMEM53	65	55	67	54
C1orf228	22	13	17	18
RNU5F-1	0	1	0	1
RNU5D-1	1	0	0	0
KIF2C	271	247	96	111
RPS8	7198	7725	6713	6888
SNORD55	19	16	9	6
SNORD46	3	4	3	1
SNORD38A	5	2	3	3
SNORD38B	2	2	4	3
BEST4	5	9	12	8
PLK3	26	44	28	27
TCTEX1D4	9	8	14	14
BTBD19	1	1	1	0
PTCH2	13	21	19	18
EIF2B3	180	223	169	169
HECTD3	418	491	333	389
UROD	240	288	281	270
ZSWIM5	26	29	49	49
LINC01144	54	55	61	52
HPDL	10	9	2	1
MUTYH	202	231	158	155
TOE1	120	139	88	79
TESK2	78	83	105	100
CCDC163P	33	31	25	23
MMACHC	226	287	149	144
PRDX1	3288	3518	2474	2600
AKR1A1	1071	1060	980	982
NASP	713	796	395	365
CCDC17	15	23	12	14
GPBP1L1	823	925	734	724
RPS15AP10	4	8	7	6
TMEM69	308	367	252	256
IPP	232	241	257	286
MAST2	333	350	308	341
PIK3R3	922	970	691	751
LOC101929626	27	17	13	13
TSPAN1	293	312	375	404
POMGNT1	1161	1257	1476	1471
LURAP1	1	0	0	1
RAD54L	140	150	57	66
LRRC41	1368	1396	1180	1208
UQCRH	972	1076	929	909
NSUN4	395	409	367	387
FAAH	962	1004	1069	1119
FAAHP1	2	4	3	5
LINC01398	0	0	0	0
DMBX1	15	22	11	6
MKNK1-AS1	4	4	2	5
KNCN	0	0	0	0
MKNK1	186	213	182	212
MOB3C	50	60	49	43
ATPAF1	970	1050	917	948
TEX38	0	3	1	3
EFCAB14-AS1	0	0	1	0
EFCAB14	1088	1179	1164	1232
CYP4B1	0	6	1	2
CYP4Z2P	0	0	0	0
CYP4A11	0	0	0	0
CYP4X1	0	1	0	0
CYP4Z1	0	1	0	0
CYP4A22	0	0	0	0
LINC00853	5	6	6	9
PDZK1IP1	10	13	34	34
TAL1	0	0	1	0
STIL	250	254	107	143
CMPK1	1470	1556	1530	1656
LINC01389	4	2	0	2
FOXE3	0	0	0	0
FOXD2-AS1	12	6	1	3
FOXD2	3	2	6	1
TRABD2B	3	2	3	3
SKINTL	0	0	2	0
SLC5A9	1	1	0	0
SPATA6	10	6	15	11
AGBL4	1	1	6	3
BEND5	4	2	4	0
LOC101929721	0	0	0	0
AGBL4-IT1	0	0	0	0
ELAVL4	0	0	0	0
DMRTA2	0	0	0	0
FAF1	539	564	533	556
CDKN2C	127	149	75	81
MIR4421	0	0	0	0
MIR6500	0	0	0	0
C1orf185	0	0	0	0
RNF11	1809	1872	1868	1796
TTC39A	236	234	315	347
TTC39A-AS1	10	6	5	13
EPS15	1414	1467	1469	1563
OSBPL9	332	357	449	488
NRD1	1525	1631	1678	1659
MIR761	0	0	0	0
RAB3B	1199	1378	1341	1326
TXNDC12	447	555	433	507
KTI12	0	0	0	0
TXNDC12-AS1	0	0	0	1
BTF3L4	376	388	294	330
ZFYVE9	284	288	289	341
CC2D1B	449	471	387	458
ORC1	95	118	34	48
PRPF38A	587	585	427	467
ZCCHC11	425	528	379	388
GPX7	0	0	0	0
FAM159A	0	1	0	0
COA7	248	262	160	162
ZYG11B	398	456	387	384
ZYG11A	2	5	5	4
ECHDC2	227	243	258	313
SCP2	819	924	1004	996
MIR1273F	0	0	0	0
MIR5095	0	0	0	0
MIR1273G	0	0	0	0
PODN	0	0	0	0
SLC1A7	0	0	0	0
CPT2	518	578	566	614
C1orf123	151	138	133	118
MAGOH	183	193	95	107
LOC100507564	28	20	29	38
LRP8	269	288	187	218
LOC105378732	3	4	1	1
SLC25A3P1	0	0	0	0
DMRTB1	0	0	0	0
GLIS1	1	1	0	1
NDC1	572	613	359	412
YIPF1	369	389	474	508
DIO1	34	42	52	40
HSPB11	192	220	190	171
LRRC42	255	270	201	179
LDLRAD1	7	9	17	17
TMEM59	1357	1373	1724	1799
TCEANC2	117	105	83	128
MIR4781	0	0	0	0
CDCP2	0	1	1	0
CYB5RL	94	88	79	106
MRPL37	1121	1230	1064	1085
SSBP3	528	570	361	368
SSBP3-AS1	12	20	9	12
ACOT11	77	81	63	64
FAM151A	5	2	1	1
MROH7	0	1	0	0
MROH7-TTC4	0	0	0	0
TTC4	5	8	4	9
PARS2	103	108	84	69
TTC22	0	0	0	1
C1orf177	1	0	0	1
DHCR24	22263	24254	32833	33883
TMEM61	2	3	3	4
BSND	1	0	0	1
PCSK9	0	1	1	2
USP24	817	966	783	852
LOC100507634	20	21	10	17
MIR4422	0	0	0	0
PPAP2B	94	115	82	76
PRKAA2	145	152	211	195
C1orf168	21	18	16	24
C8A	0	0	0	0
C8B	0	0	0	0
DAB1	0	0	0	0
DAB1-AS1	0	0	0	0
OMA1	361	394	362	379
TACSTD2	11	20	13	11
MYSM1	561	666	581	667
JUN	1377	1515	1003	1045
LINC01135	2	2	2	1
LINC01358	2	0	0	0
HSD52	0	1	0	0
FGGY	135	151	120	117
MIR4711	0	0	0	0
LOC101926944	0	0	0	1
